Blog	has	one	more	not	now	first	get	have	like	would	when	today	there	out	who	people	an	as	at	be	by	they	do	new	if	from	but	my	been	no	or	re	so	up	ve	after	we	was	can	t	most	about	all	what	their	which	here	how	time	than	your	some	just	over	will	are	know
Gothamist	5	7	48	3	4	6	10	17	7	5	11	7	3	12	5	2	8	11	28	9	21	8	1	13	3	22	13	0	4	5	2	4	3	12	1	10	9	30	7	14	3	2	2	0	11	7	7	0	4	3	9	6	7	8	11	13	5
Instapundit	11	5	7	13	1	2	0	8	4	2	10	8	2	8	7	1	9	11	13	3	5	9	2	8	1	20	7	8	4	8	5	0	7	1	0	2	9	11	3	13	3	5	3	4	3	4	1	11	5	3	0	4	6	6	0	5	0
ShoeMoney Internet Marketing Blog	2	1	2	1	1	0	1	4	2	2	0	0	2	3	2	2	1	4	2	1	0	2	1	1	4	0	1	1	1	1	2	0	3	0	0	0	1	1	1	0	2	0	2	1	3	1	3	1	0	0	3	1	0	0	2	3	1
PaulStamatiou.com - Tech News, Reviews and Guides	82	90	132	157	81	110	109	258	146	83	130	13	110	98	19	60	139	221	154	190	129	140	117	106	168	146	218	389	58	72	195	74	139	188	51	58	195	168	166	214	63	187	121	148	90	47	52	125	97	67	180	130	145	31	129	171	41
BuzzMachine	0	5	5	5	3	2	4	3	1	1	1	2	4	1	1	0	4	8	3	4	5	4	2	3	0	7	4	5	3	3	0	1	1	1	6	0	7	3	1	2	1	5	3	4	3	2	2	0	2	1	0	1	4	2	1	6	0
Techdirt.	51	38	51	85	16	22	17	90	36	37	32	15	29	42	42	36	50	84	46	77	65	82	37	15	69	63	87	18	31	33	51	18	33	41	17	16	72	67	51	80	9	43	38	35	64	36	15	22	24	26	27	35	28	23	44	71	9
Joi Ito's Web	2	5	2	1	0	1	3	3	0	0	3	1	0	1	1	0	8	3	3	0	6	2	1	4	0	2	5	7	0	1	1	0	1	1	1	0	6	4	1	2	0	5	0	0	0	0	3	1	1	1	0	3	5	1	2	2	0
Joho the Blog	2	0	1	7	1	1	0	1	1	0	2	0	1	1	1	5	2	3	3	0	2	0	1	0	0	3	1	1	1	0	1	0	1	0	0	0	7	2	2	2	1	4	0	2	0	1	0	1	1	0	2	0	4	5	0	5	0
ongoing by Tim Bray	3	2	0	4	3	4	0	1	5	0	1	2	3	2	2	6	1	1	0	2	1	6	5	8	5	4	7	6	1	0	2	4	7	0	1	0	2	6	2	2	1	7	0	2	0	4	5	3	0	0	1	3	2	1	2	11	3
we make money not art	5	2	1	13	4	0	2	5	2	2	2	2	4	3	4	5	4	13	10	6	7	4	1	2	4	11	6	2	2	2	1	1	1	4	1	4	4	2	5	4	0	7	5	4	8	4	0	1	1	0	0	3	1	1	1	15	3
NewsBusters - Exposing Liberal Media Bias	1	0	1	0	1	0	1	1	0	0	0	0	1	2	1	1	1	0	0	0	2	1	1	0	1	1	0	0	0	1	0	0	1	1	2	0	3	1	0	2	0	2	0	2	0	0	1	1	0	0	0	1	0	0	0	1	0
Wired Top Stories	6	3	2	2	3	4	0	5	1	1	2	1	1	0	0	0	5	9	8	7	4	1	0	12	2	11	6	1	1	2	5	3	1	4	0	2	7	5	6	6	4	8	2	6	2	2	3	7	4	0	7	3	3	1	3	4	1
SpikedHumor - Today's Videos and Pictures	8	6	4	8	0	2	4	6	5	2	4	0	1	1	3	3	11	1	15	1	108	0	2	7	1	20	8	8	3	1	3	2	2	13	2	3	9	4	5	6	2	9	14	5	3	0	102	5	4	1	6	9	12	0	5	6	4
The Official Google Blog	30	22	61	12	22	15	13	36	26	6	15	31	11	15	21	29	21	49	37	36	56	11	5	33	21	64	15	1	27	4	37	52	15	16	13	4	143	7	48	14	22	30	28	12	37	17	5	18	20	19	56	14	13	6	57	47	6
kottke.org	25	14	20	18	10	15	9	19	16	3	9	1	26	22	14	7	22	30	43	29	22	26	10	18	13	35	34	10	16	11	30	11	19	23	9	6	20	35	22	27	5	29	27	15	21	13	7	13	18	13	13	21	17	17	8	28	4
456 Berea Street	5	6	1	19	3	3	3	8	5	3	12	0	5	5	1	5	14	12	2	10	2	5	10	0	14	6	14	1	2	4	13	4	8	0	2	2	0	6	10	19	4	4	6	7	2	5	0	6	1	2	6	4	2	0	4	10	7
Signal vs. Noise	1	8	6	9	2	9	9	7	5	3	5	3	12	7	6	7	9	10	8	18	10	4	5	3	6	6	9	14	1	6	12	5	5	4	5	2	13	22	12	14	4	19	5	12	2	2	1	11	3	3	8	2	6	2	7	6	3
Joel on Software	18	9	20	24	3	5	12	22	8	2	8	5	11	11	2	16	9	12	23	26	6	25	12	17	18	6	23	5	5	2	21	15	20	26	3	2	23	10	20	27	5	13	14	4	11	17	1	4	12	13	12	7	11	6	14	37	4
Boing Boing	22	42	16	37	12	6	14	34	18	18	24	6	35	39	21	10	31	49	58	57	33	62	21	12	28	58	38	39	24	14	38	9	19	21	7	8	47	79	30	55	9	28	23	34	24	15	11	15	20	10	36	11	12	6	26	40	9
The Full Feed from HuffingtonPost.com	4	4	16	6	0	4	1	4	4	3	1	0	0	1	3	2	10	2	6	2	2	1	2	2	2	2	2	6	2	2	2	3	1	0	1	3	7	3	1	3	0	3	1	2	1	0	0	5	0	3	1	1	2	1	1	1	0
flagrantdisregard	1	2	0	2	1	0	1	1	0	0	2	1	1	2	0	1	4	0	0	0	1	1	1	0	1	0	3	10	1	5	0	2	2	2	2	0	1	1	5	4	0	1	2	4	1	2	0	0	0	1	1	1	3	1	0	1	1
Pharyngula	1	4	2	1	1	0	0	2	2	0	1	6	1	2	0	2	4	2	1	1	7	4	1	1	1	1	6	6	4	1	2	1	1	3	4	0	1	7	2	2	0	4	1	3	0	2	4	2	1	1	0	1	0	0	2	4	1
Steve Pavlina's Personal Development Blog	4	2	5	0	1	3	2	3	3	0	0	2	1	1	0	0	3	1	1	2	2	0	1	3	1	1	6	2	2	1	4	2	6	6	3	1	3	3	4	6	1	6	1	2	0	0	1	2	2	2	10	5	2	1	1	5	2
WIL WHEATON dot NET	10	9	13	13	5	7	9	22	13	15	21	6	17	18	34	24	20	19	23	22	11	14	8	2	7	22	27	44	10	5	15	5	27	17	8	7	39	51	8	33	3	21	20	15	12	3	4	15	8	3	10	13	12	9	7	24	9
Online Marketing Report	1	3	2	5	0	0	1	3	2	2	0	0	4	23	0	1	4	7	2	1	1	1	1	2	1	24	1	7	0	0	3	0	4	1	1	0	0	0	3	1	0	6	0	3	1	0	0	0	1	0	1	3	5	0	1	0	2
Creating Passionate Users	2	1	4	2	0	0	0	1	0	2	1	0	2	1	2	1	3	1	4	2	0	0	2	1	2	1	3	3	1	0	1	1	2	1	3	0	2	2	2	2	0	3	4	3	0	1	1	3	3	0	4	1	2	0	2	4	0
Kotaku	26	41	47	34	19	20	24	40	36	13	20	12	33	34	15	10	20	41	51	79	33	43	19	29	39	35	61	21	18	13	31	24	24	17	29	7	38	47	41	68	15	39	43	22	20	17	13	13	29	16	23	21	18	10	62	31	7
Scobleizer	0	0	1	0	4	0	1	2	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	2	1	1	1	1	2	0	0	1	0	1	1	0	4	1	1	3	0	1	2	3	0	1	1	2	2	1	0	0	2	0	1	3	0
Joystiq	29	15	21	7	19	3	5	19	12	7	7	5	6	19	11	11	23	48	20	34	18	14	1	14	14	34	18	1	16	7	9	14	11	14	6	13	46	19	13	24	5	12	19	14	13	26	6	2	13	7	6	8	10	11	41	24	4
Derek Powazek	5	13	6	6	10	3	6	3	9	0	11	2	7	9	1	2	5	10	7	7	5	6	7	5	9	5	14	22	8	2	5	7	7	11	11	4	7	13	8	10	2	9	10	9	4	2	6	7	4	2	6	3	11	5	5	11	6
Download Squad	54	19	24	23	67	10	16	42	29	7	13	7	13	40	7	4	44	54	38	49	21	11	13	55	43	50	28	2	39	8	29	33	14	25	12	20	23	10	58	29	10	13	14	14	8	36	9	9	19	8	89	14	24	18	43	27	6
Jeremy Zawodny's blog	7	20	14	9	5	13	16	23	17	8	16	3	19	8	5	6	5	21	24	25	8	26	6	8	18	15	25	21	6	5	23	5	23	24	7	11	62	65	16	22	8	15	12	15	13	9	6	8	23	4	13	22	9	9	12	12	5
@ProBlogger	3	4	7	5	0	0	6	9	3	1	2	6	0	1	1	7	4	4	49	6	9	3	6	6	4	8	4	1	3	0	2	4	3	1	11	1	15	5	2	4	3	4	5	3	5	0	5	21	3	2	24	7	4	2	1	3	3
Captain's Quarters	7	2	3	3	0	2	0	2	0	1	2	2	0	4	1	0	1	4	5	4	4	2	0	0	1	3	1	2	2	1	0	0	0	1	0	3	1	1	1	1	0	3	0	0	6	0	0	1	1	2	0	1	0	1	5	0	0
Crooks and Liars	20	14	15	20	9	13	3	22	12	13	10	1	10	8	20	10	17	28	23	29	21	23	11	7	14	18	21	4	10	9	15	2	10	11	0	20	13	29	13	27	9	10	18	20	7	18	8	4	8	8	7	8	9	5	21	28	4
plasticbag.org	1	2	10	0	1	0	5	3	2	0	0	0	2	1	1	4	0	5	6	5	1	1	1	2	1	2	1	3	2	0	1	2	1	2	3	0	4	3	1	5	2	4	6	0	0	3	1	1	3	0	1	6	0	2	2	4	2
Hot Air » Top Picks	0	1	0	0	2	0	0	2	0	0	1	0	0	2	0	0	0	0	2	1	0	0	0	0	0	4	0	3	0	1	0	1	0	2	0	3	3	1	2	5	0	2	0	1	1	1	0	0	0	0	0	1	1	0	2	1	1
ThinkProgress	6	2	6	4	1	1	2	4	1	12	5	4	0	6	6	2	8	12	5	4	8	4	2	7	3	8	4	2	1	1	2	2	1	5	1	2	3	1	0	7	3	3	1	1	7	2	1	2	3	2	1	2	2	4	5	13	1
blog maverick	0	3	1	7	1	2	4	3	1	1	1	0	0	4	2	0	3	2	1	3	2	2	1	1	2	3	3	3	1	0	4	0	2	1	1	0	3	7	1	4	1	3	4	2	2	1	0	1	0	2	4	0	1	0	1	4	0
gapingvoid: "cartoons drawn on the back of business cards"	0	11	1	0	3	0	1	1	2	0	2	3	1	1	0	0	4	0	1	0	0	0	0	2	2	5	0	5	2	0	0	3	0	6	2	1	1	3	1	1	0	2	2	1	0	2	6	2	0	0	1	0	4	1	0	2	1
Topix Blog	4	3	1	1	2	1	0	2	0	2	2	1	0	2	0	4	5	5	4	4	1	3	1	1	0	6	3	0	1	0	2	0	0	3	1	0	6	2	1	1	1	5	3	2	3	0	0	6	1	0	3	1	5	2	1	11	0
The Viral Garden	14	44	65	23	22	26	24	66	26	30	40	4	41	32	15	73	44	85	60	83	27	90	39	25	69	47	82	68	10	19	42	4	70	24	20	8	45	90	45	88	24	50	34	44	72	21	26	59	25	9	79	20	21	14	50	118	18
43 Folders	28	47	69	120	41	29	50	74	68	20	30	13	33	44	70	54	45	123	78	96	101	48	74	28	59	34	93	188	31	37	105	48	75	45	40	10	67	84	85	128	41	105	58	73	19	45	28	60	46	36	83	28	70	29	53	50	40
Search Engine Watch - Latest	0	2	4	1	0	0	3	1	2	1	4	1	1	1	0	1	2	3	5	6	3	4	1	8	1	1	1	0	0	0	5	1	1	1	0	0	0	0	4	4	4	2	2	5	2	1	6	10	1	3	14	3	0	1	5	9	1
Autoblog	19	9	23	15	8	8	8	17	6	9	7	3	10	17	1	3	14	29	22	42	9	6	4	43	9	20	25	3	12	6	11	16	3	24	3	7	33	23	10	19	3	9	22	14	2	12	6	5	7	7	10	12	15	8	51	10	1
Daily Kos	67	40	63	94	30	11	24	80	35	57	26	13	50	51	55	51	56	108	72	101	96	87	33	43	50	63	104	12	23	40	63	37	49	46	10	18	61	48	39	103	18	55	46	55	65	15	25	21	19	37	9	28	53	16	43	101	21
Google Blogoscoped	1	13	4	5	4	2	5	5	6	11	4	1	5	2	5	3	5	12	7	4	4	7	3	8	8	7	10	7	4	6	7	5	7	3	4	0	12	6	10	11	3	9	5	6	4	5	2	5	4	1	8	3	6	1	1	6	2
Deadspin	38	54	19	49	22	20	38	73	55	40	34	7	51	56	43	20	36	60	60	58	43	59	27	10	50	46	82	48	17	35	56	19	45	51	6	15	32	87	38	104	15	34	69	32	35	32	14	27	27	15	42	18	34	20	30	54	18
The Dish	5	4	10	4	0	2	2	8	6	2	10	2	7	5	8	10	7	7	12	10	48	10	2	10	3	12	11	8	1	3	8	3	1	7	4	3	9	21	4	13	5	5	3	5	5	3	0	7	5	5	7	2	4	7	11	12	3
Go Fug Yourself	0	0	13	0	1	0	0	2	2	0	1	0	1	1	1	0	1	2	2	4	0	2	0	1	0	0	2	11	0	0	1	1	3	1	1	0	0	1	2	2	0	0	0	1	0	0	1	0	0	1	0	0	0	3	1	0	1
O'Reilly Radar	3	0	1	1	1	1	0	1	1	2	0	0	0	1	0	1	2	1	2	0	0	0	4	0	2	3	1	0	0	0	3	0	1	0	1	0	1	0	2	1	0	1	1	2	1	0	0	4	0	2	0	0	0	2	1	0	2
Little Green Footballs	22	19	19	24	5	7	2	22	9	8	11	5	14	12	20	8	26	28	41	31	40	36	9	5	10	14	11	7	7	12	15	12	6	8	4	5	14	14	6	30	7	18	22	19	16	13	3	5	10	15	10	10	12	6	14	37	11
MetaFilter	7	3	5	3	2	1	1	7	3	1	2	1	2	1	5	3	4	8	7	6	12	5	2	5	2	14	4	0	3	1	5	2	3	2	2	3	6	6	2	2	0	4	2	5	3	2	4	7	3	2	3	5	2	3	4	4	5
ReadWrite	55	42	54	69	32	23	11	77	51	40	31	14	26	27	20	21	64	62	68	108	46	36	27	37	51	74	65	13	25	15	60	24	31	26	8	16	89	82	51	69	14	41	52	36	34	29	5	36	26	40	33	27	33	14	47	63	11
Lifehack	0	0	3	1	0	27	7	3	0	0	0	0	4	2	0	2	1	3	6	2	1	1	4	2	6	5	2	2	0	2	2	0	3	0	0	0	3	0	8	7	2	4	6	7	0	0	2	20	6	0	21	0	2	0	1	7	5
Lifehacker	4	7	29	4	2	2	5	4	2	4	5	2	4	7	1	2	9	7	4	5	5	5	7	8	5	9	4	3	3	3	5	3	2	6	3	1	7	2	7	4	3	2	4	8	6	0	2	10	3	2	27	5	5	1	2	10	2
Google Operating System	23	5	15	12	17	8	0	12	16	2	17	1	10	6	1	3	17	12	5	10	19	7	1	33	19	39	17	1	8	3	20	9	11	3	10	5	11	10	27	19	7	4	11	2	1	1	11	2	5	6	31	20	12	4	16	29	0
Quick Online Tips	3	2	0	2	7	0	1	3	0	0	1	3	0	0	0	0	4	4	1	1	1	3	1	9	4	1	2	3	0	1	1	0	1	1	0	2	0	3	4	0	0	5	2	1	1	8	1	3	0	0	4	1	2	0	4	4	0
Mashable	10	12	67	9	3	10	4	14	9	4	4	1	7	8	6	5	26	24	25	26	24	7	3	19	4	32	15	0	8	10	15	8	3	1	8	10	12	18	13	13	6	43	9	13	10	6	2	7	11	2	14	10	11	5	21	11	9
TechCrunch	29	11	10	4	8	12	11	12	12	4	7	9	5	10	10	4	19	44	25	21	16	11	6	16	8	13	20	8	11	6	11	8	9	6	6	7	27	20	9	11	5	10	17	13	8	7	5	7	13	7	19	8	17	11	29	19	5
Gizmodo	4	9	28	4	3	1	3	10	9	1	4	2	4	4	0	0	8	6	8	11	5	11	3	8	9	11	10	1	4	1	3	9	2	2	3	3	6	4	7	7	3	2	6	5	2	2	0	3	3	1	7	6	6	1	3	9	4
Neil Gaiman's Journal	29	64	36	65	46	38	35	76	72	36	54	12	77	73	59	75	64	83	152	126	83	83	58	36	54	93	62	126	39	28	65	11	82	63	28	16	89	184	55	71	12	82	69	39	20	45	52	26	48	20	11	42	41	41	83	67	16
Seth's Blog	3	4	0	2	0	1	0	0	1	1	2	0	2	1	0	3	2	0	2	3	3	2	3	4	0	1	4	0	1	2	9	1	1	3	0	0	0	3	1	7	5	0	0	4	0	0	0	0	4	1	9	0	1	1	1	0	1
Oilman	2	2	2	2	3	0	1	4	2	2	1	2	0	1	0	4	0	3	2	2	5	1	0	3	1	2	2	6	2	1	2	2	4	4	2	0	5	1	1	3	1	3	1	3	1	0	0	3	1	0	0	3	2	1	0	1	2
Gawker	9	4	29	5	4	3	0	8	1	5	6	3	5	5	8	1	6	8	2	10	6	0	1	4	1	6	5	0	7	4	3	0	1	2	1	6	3	9	4	7	0	2	3	1	2	3	1	1	2	3	2	2	1	4	4	3	0
Michelle Malkin	16	14	18	18	10	5	8	21	4	14	11	3	8	12	19	12	32	47	45	24	57	14	8	10	10	33	10	12	7	3	8	8	10	9	2	14	15	20	9	26	3	11	13	11	15	6	6	10	8	13	7	4	5	7	14	25	2
MAKE	0	1	0	0	0	2	1	2	0	0	0	1	0	2	1	0	5	1	8	0	1	2	0	2	0	1	0	1	0	2	0	1	1	1	3	1	5	3	0	0	1	0	4	2	4	4	3	2	0	0	2	2	1	3	1	5	0
Bloggers Blog: Blogging the Blogsphere	46	9	16	13	8	5	7	16	11	2	5	4	7	6	5	16	20	23	18	27	26	14	3	21	4	23	13	3	6	7	7	5	11	3	2	2	18	17	23	9	7	25	8	5	15	13	12	11	7	5	9	10	6	11	22	25	1
